Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
2.018,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
4.011,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
6.008,76.0,-779.9,241.9,1.228,1.171,-1.208,1.159
8.018,76.0,-779.9,241.9,1.228,1.171,-1.208,1.159
10.007,76.0,-779.9,241.9,1.228,1.171,-1.208,1.159
12.007,76.0,-779.9,241.9,1.228,1.171,-1.208,1.159
14.01,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
16.01,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
18.008,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
20.006,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
22.006,76.0,-779.9,241.9,1.228,1.171,-1.208,1.16
24.008000000000003,76.0,-779.9,241.9,1.228,1.171,-1.208,1.16
25.518,76.0,-779.9,241.9,1.228,1.171,-1.208,1.16
27.525000000000002,76.0,-779.9,241.9,1.228,1.171,-1.208,1.16
29.525,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
31.206,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
35.045,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
37.104,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
39.105000000000004,76.0,-779.9,241.9,1.228,1.171,-1.208,1.194
41.11,76.0,-779.9,241.9,1.228,1.171,-1.208,1.194
43.109,76.0,-779.9,241.9,1.228,1.171,-1.208,1.194
45.107,76.0,-779.9,241.9,1.228,1.171,-1.208,1.194
47.341,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
49.345,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
51.339999999999996,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
53.342,76.0,-779.9,241.9,1.228,1.171,-1.208,1.23
55.341,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
56.847,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
58.858000000000004,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
60.859,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
64.403,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
66.95700000000001,76.0,-779.9,242.0,1.228,1.171,-1.208,1.371
68.908,76.0,-779.9,242.0,1.228,1.171,-1.208,1.371
70.92,76.0,-779.9,242.0,1.228,1.171,-1.208,1.371
72.897,76.0,-779.9,242.0,1.228,1.171,-1.208,1.371
74.896,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
77.494,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
79.444,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
81.444,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
83.443,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
85.461,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
88.32600000000001,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
90.075,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
92.065,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
94.05199999999999,76.0,-779.9,242.0,1.228,1.171,-1.208,1.301
99.03399999999999,76.0,-779.9,242.0,1.228,1.171,-1.208,1.336
100.82199999999999,76.0,-779.9,242.0,1.228,1.171,-1.208,1.336
104.821,76.0,-779.9,242.0,1.228,1.171,-1.208,1.336
106.747,76.0,-779.9,242.0,1.228,1.171,-1.208,1.336
109.462,76.0,-779.9,242.0,1.228,1.171,-1.208,1.336
112.581,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
116.47200000000001,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
119.479,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
123.194,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
125.187,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
129.139,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
132.648,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
134.789,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
136.713,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
138.703,76.0,-779.9,242.0,1.228,1.171,-1.208,1.265
141.713,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
145.395,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
147.478,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
150.37900000000002,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
153.366,76.0,-779.9,242.0,1.228,1.171,-1.208,1.23
155.965,76.0,-779.9,242.0,1.228,1.171,-1.208,1.16
160.962,76.0,-779.9,242.0,1.228,1.171,-1.208,1.16
163.937,76.0,-779.9,242.0,1.228,1.171,-1.208,1.16
165.97799999999998,76.0,-779.9,242.0,1.228,1.171,-1.208,1.16
