Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.985,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
2.987,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
6.49,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
9.443999999999999,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
11.435,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
13.988,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
16.557,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
18.619,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
20.619,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
22.633,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
24.633,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
27.151999999999997,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
28.965999999999998,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
30.95,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
32.95,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
34.95,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
37.025000000000006,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
39.538,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
41.537,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
43.520999999999994,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
46.032999999999994,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
48.307,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
52.318999999999996,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
54.323,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
56.315999999999995,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
58.587,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
61.137,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
63.154,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
65.155,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
67.33,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
68.88,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
70.893,156.1,-799.8,242.1,1.228,1.171,-1.208,1.161
72.909,156.1,-799.8,242.1,1.228,1.171,-1.208,1.161
74.894,156.1,-799.8,242.1,1.228,1.171,-1.208,1.161
76.95,156.1,-799.8,242.1,1.228,1.171,-1.208,1.161
79.312,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
81.46000000000001,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
83.461,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
86.97399999999999,156.1,-799.8,242.1,1.228,1.171,-1.208,1.055
89.499,156.1,-799.8,242.1,1.228,1.171,-1.208,1.231
91.46300000000001,156.1,-799.8,242.1,1.228,1.171,-1.208,1.231
96.018,156.1,-799.8,242.1,1.228,1.171,-1.208,1.231
98.298,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
101.575,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
105.69000000000001,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
107.227,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
109.601,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
111.978,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
114.486,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
118.45100000000001,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
123.554,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
126.06400000000001,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
130.609,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
132.605,156.1,-799.8,242.1,1.228,1.171,-1.208,1.196
141.184,156.1,-799.8,242.1,1.228,1.171,-1.208,1.196
143.19899999999998,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
145.183,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
147.202,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
149.726,156.1,-799.8,242.1,1.228,1.171,-1.208,1.09
152.419,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
154.605,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
157.128,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
159.21099999999998,156.1,-799.8,242.1,1.228,1.171,-1.208,1.16
161.436,156.1,-799.8,242.1,1.228,1.171,-1.208,1.196
163.958,156.1,-799.8,242.1,1.228,1.171,-1.208,1.196
167.034,156.1,-799.8,242.1,1.228,1.171,-1.208,1.196
169.118,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
172.656,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
174.657,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
177.176,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
181.003,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
183.38299999999998,156.1,-799.8,242.1,1.228,1.171,-1.208,1.195
185.382,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
189.41,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
191.41,156.1,-799.8,242.1,1.228,1.171,-1.208,1.125
