Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
2.0100000000000002,135.9,-759.8,242.2,1.228,1.171,-1.208,1.089
4.002000000000001,135.9,-759.8,242.2,1.228,1.171,-1.208,1.089
6.002999999999999,135.9,-759.8,242.2,1.228,1.171,-1.208,1.09
8.517,135.9,-759.8,242.2,1.228,1.171,-1.208,1.09
13.291,135.9,-759.8,242.2,1.228,1.171,-1.208,1.09
17.421,135.9,-759.8,242.2,1.228,1.171,-1.208,1.16
19.868,135.9,-759.8,242.2,1.228,1.171,-1.208,1.16
21.878,135.9,-759.8,242.2,1.228,1.171,-1.208,1.16
23.878,135.9,-759.8,242.2,1.228,1.171,-1.208,1.196
25.875,135.9,-759.8,242.2,1.228,1.171,-1.208,1.196
28.389,135.9,-759.8,242.2,1.228,1.171,-1.208,1.196
33.033,135.9,-759.8,242.2,1.228,1.171,-1.208,1.196
35.027,136.0,-759.8,242.2,1.228,1.171,-1.208,1.09
37.537,136.0,-759.8,242.2,1.228,1.171,-1.208,1.09
39.898999999999994,136.0,-759.8,242.2,1.228,1.171,-1.208,1.09
42.035000000000004,136.0,-759.8,242.2,1.228,1.171,-1.208,1.09
46.037,136.0,-759.8,242.2,1.228,1.171,-1.208,1.054
50.188,136.0,-759.8,242.2,1.228,1.171,-1.208,1.054
52.357,136.0,-759.8,242.2,1.228,1.171,-1.208,1.054
54.361,135.9,-759.8,242.1,1.228,1.171,-1.208,1.16
56.36,135.9,-759.8,242.1,1.228,1.171,-1.208,1.16
60.434000000000005,135.9,-759.8,242.1,1.228,1.171,-1.208,1.16
62.471,135.9,-759.8,242.1,1.228,1.171,-1.208,1.124
66.47699999999999,135.9,-759.8,242.1,1.228,1.171,-1.208,1.124
68.577,135.9,-759.8,242.1,1.228,1.171,-1.208,1.124
70.89,135.9,-759.8,242.1,1.228,1.171,-1.208,1.124
72.943,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
75.458,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
77.459,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
82.005,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
85.017,136.0,-759.9,242.2,1.228,1.171,-1.208,1.054
87.525,136.0,-759.9,242.2,1.228,1.171,-1.208,1.054
89.91499999999999,136.0,-759.9,242.2,1.228,1.171,-1.208,1.231
91.923,136.0,-759.9,242.2,1.228,1.171,-1.208,1.231
93.92200000000001,136.0,-759.9,242.2,1.228,1.171,-1.208,1.231
97.455,136.0,-759.9,242.2,1.228,1.171,-1.208,1.231
100.001,136.0,-759.9,242.2,1.228,1.171,-1.208,1.124
102.003,136.0,-759.9,242.2,1.228,1.171,-1.208,1.124
104.002,136.0,-759.9,242.2,1.228,1.171,-1.208,1.124
106.506,136.0,-759.9,242.2,1.228,1.171,-1.208,1.124
108.524,136.0,-759.9,242.2,1.228,1.171,-1.208,1.16
112.03399999999999,136.0,-759.9,242.2,1.228,1.171,-1.208,1.16
115.036,136.0,-759.9,242.2,1.228,1.171,-1.208,1.16
117.556,136.0,-759.9,242.2,1.228,1.171,-1.208,1.16
119.48400000000001,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
121.48100000000001,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
123.48299999999999,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
125.483,136.0,-759.9,242.2,1.228,1.171,-1.208,1.195
127.555,136.0,-759.9,242.2,1.228,1.171,-1.208,1.196
131.116,136.0,-759.9,242.2,1.228,1.171,-1.208,1.196
134.102,136.0,-759.9,242.2,1.228,1.171,-1.208,1.196
138.125,136.0,-759.9,242.2,1.228,1.171,-1.208,1.196
140.131,136.0,-759.9,242.1,1.228,1.171,-1.208,1.02
143.13600000000002,136.0,-759.9,242.1,1.228,1.171,-1.208,1.02
145.133,136.0,-759.9,242.1,1.228,1.171,-1.208,1.02
148.202,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
150.572,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
152.57299999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
154.57399999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
158.079,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
163.095,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
165.09099999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.266
167.596,136.0,-759.9,242.1,1.228,1.171,-1.208,1.266
170.14499999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.266
172.14499999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.266
174.65900000000002,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
178.174,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
182.19199999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
184.692,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
186.701,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
189.224,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
192.23399999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
194.748,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
198.295,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
200.824,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
202.824,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
205.344,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
209.386,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
211.385,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
214.394,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
217.423,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
221.21099999999998,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
269.31300000000005,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
271.33000000000004,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
280.904,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
302.553,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
304.55100000000004,136.0,-759.9,242.1,1.228,1.171,-1.208,1.159
306.547,136.0,-759.9,242.1,1.228,1.171,-1.208,1.159
308.56600000000003,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
310.574,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
316.098,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
319.214,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
321.216,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
323.531,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
325.529,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
327.529,136.0,-759.9,242.1,1.228,1.171,-1.208,1.265
333.065,136.0,-759.9,242.1,1.228,1.171,-1.208,1.265
335.07399999999996,136.0,-759.9,242.1,1.228,1.171,-1.208,1.265
337.589,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
340.121,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
342.12399999999997,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
344.636,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
350.187,136.0,-759.9,242.1,1.228,1.171,-1.208,1.124
352.185,136.0,-759.9,242.1,1.228,1.171,-1.208,1.124
354.21799999999996,136.0,-759.9,242.1,1.228,1.171,-1.208,1.124
356.21799999999996,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
358.25,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
360.257,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
364.787,136.0,-759.9,242.1,1.228,1.171,-1.208,1.16
367.298,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
370.368,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
372.379,136.0,-759.9,242.1,1.228,1.171,-1.208,1.125
374.379,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
376.375,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
379.41,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
382.408,136.0,-759.9,242.1,1.228,1.171,-1.208,1.195
384.40999999999997,136.0,-759.9,242.1,1.228,1.171,-1.208,1.089
386.407,136.0,-759.9,242.1,1.228,1.171,-1.208,1.089
387.911,136.0,-759.9,242.1,1.228,1.171,-1.208,1.089
391.435,136.0,-759.9,242.1,1.228,1.171,-1.208,1.089
393.435,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
397.953,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
399.491,136.0,-759.9,242.1,1.228,1.171,-1.208,1.054
401.492,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
403.492,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
405.494,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
407.493,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
410.509,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
412.51,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
415.51500000000004,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
417.512,136.0,-759.9,242.1,1.228,1.171,-1.208,1.09
419.051,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
421.062,136.0,-759.9,242.1,1.228,1.171,-1.208,1.019
