Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,96.1,-800.0,242.2,1.228,1.171,-1.208,1.195
2.509,96.1,-800.0,242.2,1.228,1.171,-1.208,1.054
4.212,96.1,-800.0,242.2,1.228,1.171,-1.208,1.054
6.229,96.1,-800.0,242.2,1.228,1.171,-1.208,1.054
8.252,96.1,-800.0,242.2,1.228,1.171,-1.208,1.054
10.244,96.1,-800.0,242.2,1.228,1.171,-1.208,1.054
12.229000000000001,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
13.771,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
15.792,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
17.815,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
19.792,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
21.805,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
24.379,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
28.341,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
30.354,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
32.341,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
34.873000000000005,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
36.903,96.1,-800.0,242.1,1.228,1.171,-1.208,1.195
38.903,96.1,-800.0,242.1,1.228,1.171,-1.208,1.195
40.897999999999996,96.1,-800.0,242.1,1.228,1.171,-1.208,1.195
42.903999999999996,96.1,-800.0,242.1,1.228,1.171,-1.208,1.195
45.403,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
47.419999999999995,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
49.42,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
51.42,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
53.433,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
56.044999999999995,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
57.994,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
59.994,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
62.007,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
64.00699999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
66.512,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
68.552,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
70.54199999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
74.115,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
76.735,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
78.667,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
82.702,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
84.667,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
87.271,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
89.252,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
91.242,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
93.22999999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.125
95.22999999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
97.738,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
99.758,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
101.77,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
103.771,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
105.75800000000001,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
108.28699999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
110.29700000000001,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
112.306,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
114.301,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
116.294,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
118.92099999999999,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
120.824,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
122.83800000000001,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
124.825,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
126.837,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
129.356,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
131.373,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
133.396,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
135.386,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
137.387,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
139.902,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
141.922,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
143.915,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
145.922,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
147.915,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
150.45,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
152.483,96.1,-800.0,242.1,1.228,1.171,-1.208,1.159
154.47,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
156.583,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
158.583,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
160.101,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
161.63,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
163.653,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
165.64000000000001,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
167.653,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
169.653,96.1,-800.0,242.1,1.228,1.171,-1.208,1.124
171.183,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
173.318,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
175.321,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
177.331,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
179.331,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
181.331,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
182.897,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
184.90699999999998,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
186.886,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
188.90699999999998,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
191.414,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
193.432,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
195.434,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
199.44500000000002,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
201.93,96.1,-800.0,242.1,1.228,1.171,-1.208,1.16
203.935,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
205.937,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
207.936,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
209.936,96.1,-800.0,242.1,1.228,1.171,-1.208,1.194
212.441,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
214.446,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
216.449,96.1,-800.0,242.1,1.228,1.171,-1.208,1.23
