Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,96.0,-779.9,242.1,1.228,1.171,-1.208,1.194
1.72,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
3.354,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
5.356,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
7.866,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
9.897,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
11.885,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
13.897,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
15.875,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
18.467000000000002,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
20.413,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
22.414,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
24.405,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
26.404,96.0,-779.9,242.1,1.228,1.171,-1.208,1.264
28.942,96.0,-779.9,242.1,1.228,1.171,-1.208,1.264
30.962,96.0,-779.9,242.1,1.228,1.171,-1.208,1.264
32.961999999999996,96.0,-779.9,242.1,1.228,1.171,-1.208,1.264
34.975,96.0,-779.9,242.1,1.228,1.171,-1.208,1.159
36.491,96.0,-779.9,242.1,1.228,1.171,-1.208,1.159
39.051,96.0,-779.9,242.1,1.228,1.171,-1.208,1.159
41.083,96.0,-779.9,242.1,1.228,1.171,-1.208,1.159
43.083000000000006,96.0,-779.9,242.1,1.228,1.171,-1.208,1.231
45.093,96.0,-779.9,242.1,1.228,1.171,-1.208,1.231
47.064,96.0,-779.9,242.1,1.228,1.171,-1.208,1.231
49.653999999999996,96.0,-779.9,242.1,1.228,1.171,-1.208,1.231
51.619,96.0,-779.9,242.1,1.228,1.171,-1.208,1.265
53.619,96.0,-779.9,242.1,1.228,1.171,-1.208,1.265
55.616,96.0,-779.9,242.1,1.228,1.171,-1.208,1.265
57.619,96.0,-779.9,242.1,1.228,1.171,-1.208,1.265
60.147,96.0,-779.9,242.1,1.228,1.171,-1.208,1.265
62.190000000000005,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
64.167,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
66.19,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
68.18,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
70.70899999999999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
72.729,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
74.742,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
76.752,96.0,-779.9,242.1,1.228,1.171,-1.208,1.089
78.742,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
81.25699999999999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
83.301,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
85.29,96.0,-779.9,242.1,1.228,1.171,-1.208,1.3
87.27799999999999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.088
89.28999999999999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.088
91.829,96.0,-779.9,242.1,1.228,1.171,-1.208,1.088
93.839,96.0,-779.9,242.1,1.228,1.171,-1.208,1.088
95.85000000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.054
97.85000000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.054
99.408,96.0,-779.9,242.1,1.228,1.171,-1.208,1.054
101.95700000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.054
103.977,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
105.999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
107.977,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
109.97,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
112.562,96.0,-779.9,242.1,1.228,1.171,-1.208,1.124
114.538,96.0,-779.9,242.1,1.228,1.171,-1.208,1.124
116.548,96.0,-779.9,242.1,1.228,1.171,-1.208,1.124
118.52600000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.124
120.53800000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
123.087,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
125.09799999999998,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
127.12200000000001,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
129.12199999999999,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
131.12099999999998,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
133.66400000000002,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
135.685,96.0,-779.9,242.1,1.228,1.171,-1.208,1.195
137.69799999999998,96.0,-779.9,242.1,1.228,1.171,-1.208,1.371
139.685,96.0,-779.9,242.1,1.228,1.171,-1.208,1.371
141.685,96.0,-779.9,242.1,1.228,1.171,-1.208,1.371
144.238,96.0,-779.9,242.1,1.228,1.171,-1.208,1.371
146.283,96.0,-779.9,242.1,1.228,1.171,-1.208,1.194
148.273,96.0,-779.9,242.1,1.228,1.171,-1.208,1.194
150.26,96.0,-779.9,242.1,1.228,1.171,-1.208,1.194
152.282,96.0,-779.9,242.1,1.228,1.171,-1.208,1.194
154.858,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
156.831,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
158.822,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
160.809,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
162.832,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
165.33700000000002,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
167.347,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
169.357,96.0,-779.9,242.1,1.228,1.171,-1.208,1.23
171.345,96.0,-779.9,242.2,1.228,1.171,-1.208,1.3
173.346,96.0,-779.9,242.2,1.228,1.171,-1.208,1.3
175.852,96.0,-779.9,242.2,1.228,1.171,-1.208,1.3
177.857,96.0,-779.9,242.2,1.228,1.171,-1.208,1.3
179.914,96.0,-780.0,242.2,1.228,1.171,-1.208,1.194
