Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
2.0100000000000002,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
3.9979999999999998,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
6.505000000000001,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
8.534,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
11.543,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
13.542,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
15.544,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
18.036,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
21.075,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
23.073,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
25.073999999999998,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
29.381999999999998,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
33.39,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
37.417,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
39.791,136.1,-799.8,242.1,1.228,1.171,-1.208,1.125
42.939,136.1,-799.8,242.1,1.228,1.171,-1.208,1.089
44.928999999999995,136.1,-799.8,242.1,1.228,1.171,-1.208,1.089
48.963,136.1,-799.8,242.1,1.228,1.171,-1.208,1.089
51.027,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
53.028,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
55.027,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
58.881,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
61.405,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
65.416,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
67.441,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
69.578,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
71.672,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
73.673,136.1,-799.8,242.1,1.228,1.171,-1.208,1.16
76.67699999999999,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
79.626,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
82.143,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
84.14399999999999,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
86.65299999999999,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
89.18900000000001,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
92.364,136.1,-799.8,242.1,1.228,1.171,-1.208,1.265
95.028,136.1,-799.8,242.1,1.228,1.171,-1.208,1.124
97.05,136.1,-799.8,242.1,1.228,1.171,-1.208,1.124
99.56099999999999,136.1,-799.8,242.1,1.228,1.171,-1.208,1.124
101.56800000000001,136.1,-799.8,242.1,1.228,1.171,-1.208,1.124
103.645,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
105.647,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
107.664,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
111.094,136.1,-799.8,242.1,1.228,1.171,-1.208,1.195
113.34700000000001,136.1,-799.8,242.1,1.228,1.171,-1.208,1.23
115.345,136.1,-799.8,242.1,1.228,1.171,-1.208,1.23
117.377,136.1,-799.8,242.1,1.228,1.171,-1.208,1.23
119.392,136.1,-799.8,242.1,1.228,1.171,-1.208,1.23
121.393,136.1,-799.8,242.1,1.228,1.171,-1.208,1.019
123.91099999999999,136.1,-799.8,242.1,1.228,1.171,-1.208,1.019
127.96099999999998,136.1,-799.8,242.1,1.228,1.171,-1.208,1.019
129.972,136.1,-799.8,242.1,1.228,1.171,-1.208,1.019
132.477,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
134.487,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
136.486,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
138.573,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
141.587,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
143.627,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
146.621,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
149.04999999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
150.63899999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
152.638,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
154.714,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
157.46699999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
159.496,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
162.493,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
165.52,136.1,-799.9,242.1,1.228,1.171,-1.208,1.09
167.608,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
169.971,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
172.51500000000001,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
175.041,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
178.074,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
180.082,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
184.07899999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
188.18099999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
191.195,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
195.19,136.1,-799.9,242.1,1.228,1.171,-1.208,1.195
197.324,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
199.338,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
201.338,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
204.341,136.1,-799.9,242.1,1.228,1.171,-1.208,1.196
207.36499999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.125
210.394,136.1,-799.9,242.1,1.228,1.171,-1.208,1.125
213.387,136.1,-799.9,242.1,1.228,1.171,-1.208,1.125
216.425,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
218.885,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
222.433,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
226.443,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
228.76,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
230.47699999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
234.477,136.1,-799.9,242.1,1.228,1.171,-1.208,1.265
237.281,136.1,-799.9,242.1,1.228,1.171,-1.208,1.089
242.29600000000002,136.1,-799.9,242.1,1.228,1.171,-1.208,1.089
244.294,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
247.32199999999997,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
249.847,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
251.843,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
253.84699999999998,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
255.84400000000002,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
259.24199999999996,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
262.252,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
265.77099999999996,136.1,-799.9,242.1,1.228,1.171,-1.208,1.231
268.332,136.1,-799.9,242.1,1.228,1.171,-1.208,1.231
272.437,136.1,-799.9,242.1,1.228,1.171,-1.208,1.231
276.445,136.1,-799.9,242.1,1.228,1.171,-1.208,1.16
278.994,136.1,-799.9,242.1,1.228,1.171,-1.208,1.16
282.01599999999996,136.1,-799.9,242.1,1.228,1.171,-1.208,1.16
284.003,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
286.51300000000003,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
288.824,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
291.842,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
296.839,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
299.86600000000004,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
301.873,136.1,-799.9,242.1,1.228,1.171,-1.208,1.054
303.87199999999996,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
308.399,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
313.94100000000003,136.1,-799.9,242.1,1.228,1.171,-1.208,1.23
316.448,136.1,-799.9,242.1,1.228,1.171,-1.208,1.266
