Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
1.3339999999999999,115.9,-759.8,242.0,1.228,1.171,-1.208,1.195
3.346,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
6.337,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
8.343,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
10.334,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
12.666,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
16.19,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
18.203,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
20.842,115.9,-759.8,242.0,1.228,1.171,-1.208,1.23
24.719,115.9,-759.8,242.0,1.228,1.171,-1.208,1.23
28.726000000000003,115.9,-759.8,242.0,1.228,1.171,-1.208,1.23
31.287000000000003,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
33.253,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
35.253,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
37.248000000000005,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
41.815,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
43.769000000000005,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
45.766,115.9,-759.8,242.0,1.228,1.171,-1.208,1.301
47.754999999999995,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
49.766,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
52.352000000000004,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
55.297,115.9,-759.8,242.0,1.228,1.171,-1.208,1.265
57.302,115.9,-759.9,242.0,1.228,1.171,-1.208,1.231
61.301,115.9,-759.9,242.0,1.228,1.171,-1.208,1.231
63.82500000000001,115.9,-759.9,242.0,1.228,1.171,-1.208,1.231
65.82499999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
67.815,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
70.81899999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
74.36,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
76.359,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
78.359,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
82.447,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
84.59700000000001,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
88.588,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
90.598,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
92.597,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
94.744,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
96.745,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
98.743,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
100.744,115.9,-759.9,242.1,1.228,1.171,-1.208,1.194
102.745,115.9,-759.9,242.1,1.228,1.171,-1.208,1.194
104.242,115.9,-759.9,242.1,1.228,1.171,-1.208,1.194
108.25999999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.194
110.259,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
112.248,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
114.24900000000001,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
116.365,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
118.377,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
120.37599999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
122.371,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
124.886,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
126.90299999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
128.89100000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
130.902,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
132.904,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
134.903,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
137.07,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
139.076,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
141.08100000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
143.07500000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
145.081,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
147.204,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
149.19199999999998,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
151.194,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
153.194,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
155.818,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
157.729,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
159.729,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
161.728,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
163.723,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
166.297,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
168.25300000000001,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
172.24900000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
176.761,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
180.301,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
182.312,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
184.312,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
186.29999999999998,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
188.828,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
191.831,115.9,-759.9,242.1,1.228,1.171,-1.208,1.125
193.83,115.9,-759.9,242.1,1.228,1.171,-1.208,1.125
195.819,115.9,-759.9,242.1,1.228,1.171,-1.208,1.125
197.83,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
199.963,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
201.964,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
203.963,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
206.97,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
210.48,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
212.48600000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
216.442,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
218.59300000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
221.517,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
225.515,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
227.512,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
230.042,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
233.04500000000002,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
235.05300000000003,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
237.043,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
241.587,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
243.581,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
245.582,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
247.581,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
249.579,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
252.135,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
255.125,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
259.118,115.9,-759.9,242.1,1.228,1.171,-1.208,1.371
261.13,115.9,-759.9,242.1,1.228,1.171,-1.208,1.371
263.336,115.9,-759.9,242.1,1.228,1.171,-1.208,1.371
267.336,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
276.864,115.9,-759.9,242.1,1.228,1.171,-1.208,1.16
280.392,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
282.39,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
285.391,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
289.389,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
313.386,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
319.944,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
322.94,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
326.449,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
329.459,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
331.45799999999997,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
351.636,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
355.633,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
357.63800000000003,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
359.633,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
361.77,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
363.771,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
365.774,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
369.771,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
373.293,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
375.288,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
377.288,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
379.357,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
381.359,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
383.411,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
385.411,115.9,-759.9,242.1,1.228,1.171,-1.208,1.3
387.411,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
391.40999999999997,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
393.409,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
395.58500000000004,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
398.40999999999997,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
400.409,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
402.411,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
405.923,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
407.93600000000004,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
409.933,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
411.939,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
413.934,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
416.567,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
421.46,115.9,-759.9,242.1,1.228,1.171,-1.208,1.266
423.458,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
425.457,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
428.597,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
430.596,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
432.599,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
434.596,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
436.596,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
439.124,115.9,-759.9,242.1,1.228,1.171,-1.208,1.23
442.11899999999997,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
444.122,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
448.624,115.9,-759.9,242.1,1.228,1.171,-1.208,1.265
450.63,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
452.63,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
455.63599999999997,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
457.63,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
460.15,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
462.152,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
466.149,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
469.659,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
472.66999999999996,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
476.669,115.9,-759.9,242.1,1.228,1.171,-1.208,1.195
479.182,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
480.69,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
482.69800000000004,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
484.697,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
486.697,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
491.231,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
495.813,115.9,-759.9,242.1,1.228,1.171,-1.208,1.301
497.81399999999996,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
499.817,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
501.81699999999995,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
504.3299999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,1.336
507.33099999999996,115.9,-759.9,242.1,1.228,1.171,-1.208,0.737
509.3299999999999,115.9,-759.9,242.1,1.228,1.171,-1.208,0.737
511.329,115.9,-759.9,242.1,1.228,1.171,-1.208,0.737
514.715,115.9,-759.9,242.1,1.228,1.171,-1.208,0.737
516.713,115.9,-759.9,242.1,1.228,1.171,-1.208,0.737
518.712,115.8,-759.7,241.7,1.228,1.173,-1.208,0.738
522.717,115.8,-759.7,241.7,1.228,1.173,-1.208,0.738
525.248,115.8,-759.7,241.7,1.228,1.173,-1.208,0.738
528.248,115.6,-759.3,241.0,1.229,1.173,-1.208,0.984
530.252,115.6,-759.3,241.0,1.229,1.173,-1.208,0.984
