Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
2.588,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
4.54,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
6.553,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
8.552999999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
10.536999999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
13.068,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
14.658,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
16.646,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
18.659,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
20.657,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
23.18,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
25.191000000000003,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
27.188,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
28.692,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
30.698,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
32.7,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
34.802,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
36.799,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
38.799,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
40.800000000000004,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
42.803,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
44.376,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
46.099000000000004,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
48.096,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
50.096000000000004,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
52.096000000000004,76.0,-760.0,242.1,1.228,1.171,-1.208,1.195
54.603,76.0,-760.0,242.1,1.228,1.171,-1.208,1.195
56.611000000000004,76.0,-760.0,242.1,1.228,1.171,-1.208,1.195
58.608,76.0,-760.0,242.1,1.228,1.171,-1.208,1.195
60.61,76.0,-760.0,242.1,1.228,1.171,-1.208,1.125
62.608,76.0,-760.0,242.1,1.228,1.171,-1.208,1.125
65.11500000000001,76.0,-760.0,242.1,1.228,1.171,-1.208,1.125
67.12,76.0,-760.0,242.1,1.228,1.171,-1.208,1.125
69.12,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
71.123,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
73.12,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
75.627,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
79.639,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
81.637,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
83.637,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
86.142,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
88.149,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
90.151,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
92.14999999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
94.148,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
96.66,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
98.668,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
100.66799999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
102.67099999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
104.67,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
107.172,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
109.17699999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
111.17699999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
115.176,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
117.742,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
119.693,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
121.696,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
123.695,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
125.696,76.0,-760.0,242.1,1.228,1.171,-1.208,1.3
128.199,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
129.73100000000002,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
131.731,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
133.731,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
135.736,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
137.731,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
140.11100000000002,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
142.111,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
144.121,76.0,-760.0,242.1,1.228,1.171,-1.208,1.265
146.111,76.0,-760.0,242.1,1.228,1.171,-1.208,1.265
148.111,76.0,-760.0,242.1,1.228,1.171,-1.208,1.265
150.241,76.0,-760.0,242.1,1.228,1.171,-1.208,1.265
152.24099999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
154.243,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
158.24099999999999,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
160.31599999999997,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
162.315,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
164.315,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
165.821,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
167.827,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
169.33,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
171.33499999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
172.509,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
174.509,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
176.512,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
178.50900000000001,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
182.021,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
184.018,76.0,-760.0,242.1,1.228,1.171,-1.208,1.23
186.021,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
188.019,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
190.531,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
192.54,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
194.53799999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
196.53799999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
198.53799999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
201.042,76.0,-760.0,242.1,1.228,1.171,-1.208,1.16
202.451,76.0,-760.0,242.1,1.228,1.171,-1.208,1.229
204.456,76.0,-760.0,242.1,1.228,1.171,-1.208,1.229
206.457,76.0,-760.0,242.1,1.228,1.171,-1.208,1.229
208.459,76.0,-760.0,242.1,1.228,1.171,-1.208,1.229
210.457,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
211.96300000000002,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
213.969,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
215.968,76.0,-760.0,242.1,1.228,1.171,-1.208,1.124
217.973,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
219.971,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
221.97,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
223.48299999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.194
225.48299999999998,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
227.482,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
228.99800000000002,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
231.02900000000002,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
232.535,76.0,-760.0,242.1,1.228,1.171,-1.208,1.159
234.553,76.0,-760.0,242.2,1.228,1.171,-1.208,1.229
236.41,76.0,-760.0,242.2,1.228,1.171,-1.208,1.229
237.947,76.0,-760.0,242.2,1.228,1.171,-1.208,1.229
