Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
1.0,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
2.991,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
4.5040000000000004,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
6.502,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
8.501999999999999,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
10.504,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
12.505,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
16.554,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
18.543,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
20.541,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
22.540999999999997,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
24.599,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
26.599,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
28.598,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
32.601,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
34.113,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
36.12,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
38.120000000000005,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
40.120000000000005,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
42.12,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
44.12,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
46.211,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
50.217,116.1,-799.9,242.1,1.228,1.171,-1.208,1.124
52.211,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
54.211000000000006,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
56.403,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
58.403,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
62.394,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
65.905,116.1,-799.9,242.1,1.228,1.171,-1.208,1.195
69.91600000000001,116.1,-799.9,242.1,1.228,1.171,-1.208,1.301
71.915,116.1,-799.9,242.1,1.228,1.171,-1.208,1.301
73.91499999999999,116.1,-799.9,242.1,1.228,1.171,-1.208,1.301
76.033,116.1,-799.9,242.1,1.228,1.171,-1.208,1.301
78.034,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
80.03200000000001,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
82.024,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
85.022,116.1,-799.9,242.1,1.228,1.171,-1.208,1.159
88.533,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
90.532,116.1,-799.9,242.1,1.228,1.171,-1.208,1.16
